uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"2c56eb4a-f090-463e-a676-dd9922c491fc","DEJU_045.basePlot.vst","2021-08-23",,"D19","DEJU","DEJU_045","tower","shrubScrub",63.880889,-145.742977,"WGS84",20.1,561742.28,7084349.56,"6N",509.1,0.1,"OK","vst_DEJU_2021","allTowerPlots","allGrowthForms","23 | 39","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N","25","noneSelected","noneSelected",800,100,800,800,,,,
"c8f64f7e-a9bd-4c17-a7af-8ee6d5a5abbe","DEJU_052.basePlot.vst","2021-08-23",,"D19","DEJU","DEJU_052","tower","evergreenForest",63.881972,-145.742293,"WGS84",20.1,561773.49,7084470.89,"6N",507.6,0.1,"OK","vst_DEJU_2021","allTowerPlots","allGrowthForms","21 | 23","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N","10","noneSelected","noneSelected",800,40,800,800,,,,
"f9585a0d-c117-403a-bd46-b7ddd64a8792","DEJU_047.basePlot.vst","2021-08-24",,"D19","DEJU","DEJU_047","tower","evergreenForest",63.882240,-145.739248,"WGS84",20.2,561922.45,7084503.70,"6N",505.2,0.3,"OK","vst_DEJU_2021","allTowerPlots","allGrowthForms","21 | 23","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N","10","noneSelected","noneSelected",800,40,800,800,,,,
"a4a66ae4-17a3-4225-bf7d-95158e54ceb4","DEJU_051.basePlot.vst","2021-08-24",,"D19","DEJU","DEJU_051","tower","evergreenForest",63.878314,-145.756523,"WGS84",20.1,561082.58,7084049.63,"6N",511.9,0.1,"OK","vst_DEJU_2021","allTowerPlots","allGrowthForms","21 | 39","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N","10","noneSelected","noneSelected",800,40,800,800,,,,
"59f5e7a1-343e-4d52-8f55-619a58a62db1","DEJU_049.basePlot.vst","2021-08-25",,"D19","DEJU","DEJU_049","tower","evergreenForest",63.880860,-145.739296,"WGS84",20.1,561923.13,7084349.90,"6N",507.3,0.1,"OK","vst_DEJU_2021","allTowerPlots","allGrowthForms","21 | 23","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N","10","noneSelected","noneSelected",800,40,800,800,,,,
"666ce630-cc66-47a8-a1b5-2ec2c37e32b3","DEJU_046.basePlot.vst","2021-08-25",,"D19","DEJU","DEJU_046","tower","evergreenForest",63.877756,-145.753497,"WGS84",20.1,561232.43,7083990.36,"6N",511.7,0.1,"OK","vst_DEJU_2021","allTowerPlots","allGrowthForms","21 | 23","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N","10","noneSelected","noneSelected",800,40,800,800,,,,
"96385a2f-4ce7-4855-a625-a3fb549916b1","DEJU_048.basePlot.vst","2021-08-25",,"D19","DEJU","DEJU_048","tower","evergreenForest",63.881243,-145.753351,"WGS84",20.1,561232.01,7084379.01,"6N",506.8,0.1,"OK","vst_DEJU_2021","allTowerPlots","allGrowthForms","21 | 39","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N","3","noneSelected","noneSelected",800,12,800,800,,,,
"0ba2e785-47b6-4e2f-9f32-95118c865d6c","DEJU_054.basePlot.vst","2021-08-25",,"D19","DEJU","DEJU_054","tower","evergreenForest",63.878098,-145.761422,"WGS84",20.1,560842.42,7084020.89,"6N",514.6,0.1,"OK","vst_DEJU_2021","allTowerPlots","allGrowthForms","23 | 41","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N","10","noneSelected","noneSelected",800,40,800,800,,,,
"b0955f41-1051-40c9-a8fb-a2ee9bc5f1be","DEJU_064.basePlot.vst","2021-08-26",,"D19","DEJU","DEJU_064","tower","evergreenForest",63.880240,-145.759480,"WGS84",20.1,560933.17,7084261.39,"6N",510.8,0.1,"OK","vst_DEJU_2021","allTowerPlots","dendrometerOnly","21 | 39","NEON.DOC.000987vJ","Y",,,,,,,,,,,,"notAssessed","notAssessed","notAssessed",,,,,,,,
"c5077628-9347-4f6d-9fc9-e714512813eb","DEJU_058.basePlot.vst","2021-08-26",,"D19","DEJU","DEJU_058","tower","evergreenForest",63.876998,-145.759013,"WGS84",20.1,560963.13,7083900.63,"6N",514.8,0.2,"OK","vst_DEJU_2021","allTowerPlots","dendrometerOnly","21 | 41","NEON.DOC.000987vJ","Y",,,,,,,,,,,,"notAssessed","notAssessed","notAssessed",,,,,,,,
"278bf3c8-ccf6-4a92-8abd-800e8ae94dc3","DEJU_050.basePlot.vst","2021-08-26",,"D19","DEJU","DEJU_050","tower","evergreenForest",63.880773,-145.757613,"WGS84",20.1,561023.71,7084322.56,"6N",509.1,0.1,"OK","vst_DEJU_2021","allTowerPlots","allGrowthForms","21 | 23","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N","10","noneSelected","noneSelected",800,40,800,800,,,,
"a73ea104-ea0d-4c1d-aaa4-fb8d442fbe6b","DEJU_061.basePlot.vst","2021-08-26",,"D19","DEJU","DEJU_061","tower","evergreenForest",63.879290,-145.744879,"WGS84",20.1,561652.37,7084169.57,"6N",511.1,0.1,"OK","vst_DEJU_2021","allTowerPlots","dendrometerOnly","21 | 41","NEON.DOC.000987vJ","Y",,,,,,,,,,,,"notAssessed","notAssessed","notAssessed",,,,,,,,
"1032f451-5abd-4d2f-932f-87dea756b8f8","DEJU_062.basePlot.vst","2021-08-26",,"D19","DEJU","DEJU_062","tower","evergreenForest",63.880191,-145.753398,"WGS84",20.1,561231.99,7084261.75,"6N",507.8,0.1,"OK","vst_DEJU_2021","allTowerPlots","dendrometerOnly","23 | 41","NEON.DOC.000987vJ","Y",,,,,,,,,,,,"notAssessed","notAssessed","notAssessed",,,,,,,,
"4e742c8c-d57e-4106-b563-49743a13210f","DEJU_055.basePlot.vst","2021-08-26",,"D19","DEJU","DEJU_055","tower","evergreenForest",63.876147,-145.756002,"WGS84",20.1,561112.88,7083808.70,"6N",517.4,0.1,"OK","vst_DEJU_2021","allTowerPlots","dendrometerOnly","23 | 41","NEON.DOC.000987vJ","Y",,,,,,,,,,,,"notAssessed","notAssessed","notAssessed",,,,,,,,
"317e4fc6-b1d4-45ae-9477-e06f0ce88cd2","DEJU_053.basePlot.vst","2021-08-26",,"D19","DEJU","DEJU_053","tower","evergreenForest",63.881614,-145.763712,"WGS84",20.1,560722.35,7084410.44,"6N",511.4,0.1,"OK","vst_DEJU_2021","allTowerPlots","allGrowthForms","21 | 41","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N","10","noneSelected","noneSelected",800,40,800,800,,,,
